#MONGOL KHANATE PRIMARY

#Canada
474 = "Oral"
476 = "Aqmola"
478 = "Köktobe"
479 = "Tsenkheruul"
2125 = "Nariin"
2126 = "Chüi"
2353 = "Aikye"
1079 = "Hilin"
1969 = "Türkistan"
1970 = "Qazali"
2356 = "Shimkent"
2357 = "Ulaankhad"
2365 = "Jänibek"
2367 = "Chapayev"
2368 = "Taldykorgan"
2366 = "Aksai"
2351 = "Shalkar"
2358 = "Jyezkazgan"
2360 = "Aktugai"
2361 = "Atasu"
459 = "Jambyl"
2368 = "Taldiqorgan"
2118 = "Ürjar"
2360 = "Aqtogay"
2354 = "Jijiguuls"
2357 = "Qyzyljar"
2359 = "Arqaliq"
2365 = "Janibyek"
2369 = "Qostanay"
4684 = "Shygys Qazaqstan"
4685 = "Kharganat"
4686 = "Khoyortolgoidavs"
4687 = "Paulynbereg"
4692 = "Sergeev"

#Turkey
151 = "Konstantinopol"

#China
677 = "Khotynkhaalga"
678 = "Zuukhnykhot"
703 = "Harun Gol"
705 = "Giyegu"
706 = "Tsaidam"
707 = "Yuimeni"
709 = "Alasha Jegün"
710 = "Khotan"
711 = "Chyerchyen"
713 = "Doloodakhitsaiz"
2120 = "Khulj"
715 = "Örömç"
727 = "Aihun"
728 = "Khoidenkhtaivan"
730 = "Girin"
731 = "Davkharnugasuul"
1053 = "Khyangan"
1816 = "Khanbaliq"
2109 = "Sungar Ekh"
2110 = "Chanchun"
2111 = "Tunkhua"
2112 = "Züüniigtaivshruulj"
2123 = "Charklyk"
2119 = "Khartos"
2120 = "Yilibali"
2121 = "Küsän"
2130 = "Niingchi"
2131 = "Chamdo"
2134 = "Tunjeni"
2136 = "Haalgan"
2167 = "Saikhangol"
2179 = "Yaniani"
2184 = "Seleng"
2185 = "Nonimulun"
2192 = "Khorol"
2122 = "Qamil"
714 = "Khovogsair"
4200 = "Suiha"
4201 = "Khuntszyan"
4202 = "Chaghanhot"
4205 = "Hala Wusu"
4206 = "Barköl"
4208 = "Us"
4209 = "Maralbashi"
4223 = "Ükhai"
4218 = "Morindavaa"
4516 = "Burang"
4519 = "Damshung"
4653 = "Yanitszi"
4654 = "Suifungol"
4656 = "Wolangol"
4660 = "Yesön"
4661 = "Tszyaokhe"
4663 = "Gisi"
4672 = "Ulankhad"
4676 = "Alasha Baragun"
4683 = "Altai Toirog"
4693 = "Kyeriya"

#Korea
732 = "Khamkhon"
2742 = "Umard Khamkhon"
2743 = "Yangan"
