#WELSH PRIMARY
#COPY TO CELTIC

893 = "Orleans Newydd"
894 = "Cadwgawn"
895 = "Monticello"
897 = "Craig Fach"
898 = "Typicy"
899 = "Maesffynhonnell"
900 = "Sant Lewis"
901 = "Gogledd Plat"
4915 = "Gruffydd"
902 = "Dinas Cansys"
903 = "Owmyha"
905 = "Dinas Gwilym"
2513 = "Des Moines"
906 = "Dilwyn"
907 = "Rhaeadr Sw"
908 = "Sant Clw"
2512 = "Miniapolis"
909 = "Bismarck"
910 = "Dau Harbwr"
2517 = "Dulhut"
911 = "Èscynaby"
912 = "Wòso"
913 = "Dafydd"
914 = "Mìlwoci"
915 = "Rhydcraig"
4903 = "Sicagow"
917 = "Maesffynhonnell"
916 = "Pioriy"
918 = "Memffis"
920 = "Anterth"
921 = "Baton Rouge"
922 = "Mobil"
923 = "Pensycowly"
924 = "Llanidan"
925 = "Dothan"
926 = "Traeth Palmwydd"
927 = "Tref Ieuan"
928 = "Talyhasi"
929 = "Safana"
930 = "Columbus"
931 = "Rhufain"
2540 = "Iwerydd"
932 = "Tref Siarl"
933 = "Columbia"
934 = "Tref Brynmor"
939 = "Tref Naisg"
935 = "Tref Cnoc"
936 = "Salem"
4879 = "Tref Siencyn"
937 = "Elisedd"
938 = "Tref Gwyrdd"
4887 = "Pydwcy"
940 = "Tref Lewis"
941 = "Cathures"
942 = "Terre Haute"
4922 = "Gaer Owain"
944 = "Detroit"
945 = "Dinas Tramwy"
946 = "Toledo"
947 = "Sion"
948 = "Tref Llewelyn"
4907 = "Columbus"
949 = "Rowynowc"
950 = "Iceni"
951 = "Tref Siarl"
952 = "Yr Eglwys Newydd"
953 = "Porfa Bren"
954 = "Iyri"
955 = "Gaer Harries"
956 = "Filadelfia"
957 = "Vaughan"
4871 = "Montpellier"
4872 = "Byfflo"
4873 = "Tref Ffermio"
958 = "Gruffudd"
959 = "Ithaca"
960 = "Siracusa"
961 = "Utica"
962 = "Tref Harri"
963 = "Alban"
964 = "Tref Menig"
965 = "Efrog Newydd"
966 = "Caerwrangon"
967 = "Ynys Rhodos"
968 = "Pedwar Croes"
969 = "Tref Tudor"
2562 = "Chytgord"
971 = "Bangor"
#Casper = "Gwenllian"
#Grangeville = "Tref Ceridwen"
2020 = "Rhaeadr Idyho"
2023 = "Cledwyn"
2481 = "Rhydddôl"
2482 = "Salem"
2484 = "Porth Angeles"
2485 = "Olympia"
2486 = "Iacimy"
2487 = "Spocan"
2488 = "Pasco"
2489 = "Rhaeadrau Gefell"
2490 = "Dinas Llyn Halen"
2501 = "Rhaeadrau Mawr"
3039 = "Dinas Cedrwydd"
3040 = "Cyffordd Fawreddog"
2506 = "Ffynhonnau Creigiau"
2007 = "Pierre"
4918 = "Einion"
2009 = "Clogwyn Scott"
2010 = "Treletert"
2011 = "Gaer Gawain"
2565 = "Cathures"
2014 = "Porth Idwal"
2016 = "Rhaeadr Owain"
2669 = "Golygfahir"
4917 = "Helena"
4876 = "Hughes Jones"
2672 = "Urien"
2625 = "Ffynhonnau Colorado"
1809 = "Siaien"
2507 = "Gaer Kollen"
2509 = "Rhodri"
2510 = "Tref Heddwyn"
904 = "Gruffudd"
2518 = "Eau Claire"
4905 = "Cwympiadau Cedrwydd"
2519 = "Gwastadedd"
2520 = "Dyffryncarbon"
2514 = "Penrhyn Girardeau"
2515 = "Gaer Gobha"
2516 = "Llyn Siarl"
2530 = "Bìlocsi"
2529 = "Ieuan"
2528 = "Tref Gwyrdd"
2527 = "Tsatynwgy"
2531 = "Tref Dafydd"
2532 = "Abertawe"
2533 = "Dinas Panama"
2536 = "Maiami"
2535 = "Gaer Maelor"
2534 = "Tref Huw"
2537 = "Vaughan"
2539 = "Brunswick"
4881 = "Alban"
2538 = "Ifan"
4880 = "Siôr"
2541 = "Madog"
2542 = "Beaufort"
2543 = "Traeth Myrtwydd"
2546 = "Machen"
2544 = "Carlot"
2545 = "Tref Fayette"
4878 = "Gaer Gwyrdd"
2547 = "Dinas Lisa"
2548 = "Tref Siencyn"
2549 = "Tref Charlotte"
2550 = "Alecsandria"
2552 = "Gaer Martin"
2551 = "Tref Morcant"
2526 = "Gilwern"
943 = "Indiaiddiapolis"
2523 = "Tref Ifan"
2524 = "Tref Blodeuo"
2525 = "Cincinnatus"
2522 = "Gruffudd"
2521 = "Callestr"
2555 = "Gaer Llywelyn"
2556 = "Altona"
2557 = "Porth Gwilym"
2553 = "Tref Morcant"
2554 = "Tref y Ty Mawr"
2639 = "Archnewydd"
2558 = "Gaer Newydd"
2560 = "Porthladd Newydd"
2561 = "Y Drenewydd"
2559 = "Gaer Edern"
2563 = "Colwyn"
2564 = "Libanus"
970 = "Coed Duon"
2013 = "Elain"
2566 = "Mytsaiys"
2567 = "Yrwstwc"
2019 = "Boise"
#Brigham City = "Dinas Tomos"
4933 = "Mizswly"
2502 = "Havre"
2503 = "Dinas Cynan"
2006 = "Rhian"
2504 = "Arvel"
2505 = "Iorwerth"
2008 = "Dinas Cwympiadau"
2508 = "Ynys Fawreddog"
2511 = "Aneirin"
#Grand Forks = "Ffyrc Mawr"
4625 = "Orlando"
4626 = "Tampy"
4874 = "Maesllywelyn"
4877 = "Emporia"
4882 = "Tref Gwyrdd"
4883 = "Celyn"
4884 = "Aled"
4885 = "Dai"
4886 = "Ffynhonnau Poeth"
4888 = "Tref Hywel"
4889 = "Colwyn"
4898 = "Marquette"
4899 = "Glynn"
4900 = "Dinas Sioux"
4901 = "Heilyn"
4902 = "Rhyngwladol"
4904 = "Belleville"
4906 = "Columbia"
4912 = "Massena"
4913 = "Gaer Elain"
4914 = "Emporia"
4916 = "Megan"
4921 = "Lawnt Fowlio"
4923 = "Gaer Ieuan"
4940 = "Coeur d'Alene"
4941 = "Gwyn"

#Iceland
370 = "Réicivíc"

#Norway
23 = "Arfordir y Gorllewin"

#Netherlands
1744 = "Antwerp"

#Belgium
1865 = "Dwyrain Fflandrys"

#Luxembourg
94 = "Lwcsembwrg"

#UK
4373 = "Dyfnaint"
236 = "Llundain"
251 = "Obar Dheathain"
4130 = "Gwlad yr Haf"
4362 = "Din Prys"
4364 = "Ynysoedd Mewnol Heledd"
4365 = "Manaw"
4371 = "Dyffrynrhyfeddol"
4372 = "Coventre"
233 = "Cernyw"
4375 = "Llynlleifiad"
4376 = "Caerlyr"

#France
87 = "Caled"
174 = "Gwasgwyn"
179 = "Bituriges"
4384 = "Roazhon"
4389 = "Turones"

#Spain
4547 = "Alaba"

#Portugal
227 = "Olisippo"
232 = "Brigantia"
1851 = "Corumbriga"
4150 = "Ebora"

#Germany
85 = "Cwlen"

#Austria
4710 = "Brigantion"
4761 = "Stiria"

#Switzerland
1869 = "Turicon"

#Italy
116 = "Fflorens"

#Poland
43 = "Gydanysg"

#Hungary
153 = "Bwdapest"

#Croatia
137 = "Dwfr"

#Greece
146 = "Athen"

#Lithuania
1936 = "Cawnas"

#Belarus
276 = "Mionsc"

#Ukraine
291 = "Charkiv"

#Russia
33 = "Cathair Pheadair"
295 = "Moscfa"
313 = "Archangel"
464 = "An Astracáin"
1032 = "Kouril"
1033 = "Sachalinde"
4658 = "Gogledd Sachalin"
1061 = "Coedwig Siberia"
1066 = "Altae"

#Turkey
151 = "Caergystennin"
