#OUDH PRIMARY (HINDU)

#Canada
2554 = "Bhaultimaura"
2639 = "Nayasanduk"
2558 = "Nayagarh"
2560 = "Naya Bandaragah"
2561 = "Bhubaneswar"
2559 = "Nayargarh"
2563 = "Hospet"
2564 = "Lebanan"
970 = "Bhopal"
2013 = "Hazrat"
2566 = "Macaias"
2567 = "Arustuk"
2019 = "Boijhi"
#Brigham City = "Hasan Shahar"
4933 = "Mizula"
2502 = "Havre"
2503 = "Mithlesh Shahar"
2006 = "Venapally"
2504 = "Rane"
2505 = "Vashum"
2008 = "Kshiprika Shahar"
2508 = "Bada Dveep"
2511 = "Sangma"
#Grand Forks = "Bade Kante"
4625 = "Orlando"
4874 = "Pitkshetr"
4875 = "Mirpur"
4877 = "Emporiya"
4882 = "Harapur"
4883 = "Chand"
4884 = "Chakraborty"
4885 = "Ayazi"
4886 = "Garam Chashma"
4888 = "Paikepur"
4889 = "Iqbal"
4898 = "Marquette"
4899 = "Nayudamma"
4900 = "Su Shahar"
4901 = "Marsale"
4902 = "Antararashtriy"
4904 = "Belivil"
4906 = "Kolambiya"
4912 = "Massena"
4913 = "Ramachandragarh"
4914 = "Emporia"
4916 = "Lanjo"
4921 = "Gendabaji ka Khet"
4923 = "Jhonegarh"
4940 = "Kor Dilen"
4941 = "Stobdan"

#Belgium
93 = "Lij"
1865 = "Purv Phlandars"

#Luxembourg
94 = "Laksambarg"

#UK
236 = "Lamdan"
239 = "Pulsthan"
251 = "Ebaradina"

#France
202 = "Aivgnan"
203 = "Lyom"

#Spain
213 = "Barsilona"
217 = "Madrida"
222 = "Almerya"
226 = "Jibraltar"
1750 = "Alikant"

#Portugal
227 = "Lisban"

#Germany
57 = "Branjavika"
59 = "Maisen"
62 = "Lipajiga"
69 = "Ravensgarh"
78 = "Mainza"
1758 = "Hanovara"
1760 = "Kobalenja"
1868 = "Augsburga"
1874 = "Bremena"
1876 = "Frainkafarta"
1878 = "Akhana"

#Switzerland
165 = "Barn"

#Slovenia
1769 = "Lyubalyana"

#Italy
116 = "Florens"
119 = "Ankuna"

#Greece
146 = "Ethems"

#Ukraine
280 = "Kiv"
291 = "Kharakiva"

#Russia
295 = "Masko"
313 = "Arkhanjl"
464 = "Astrakhana"
1032 = "Kurila"
1033 = "Daksina-Sakhalina"
1034 = "Kamacataka"
1039 = "Vadeyana"
4658 = "Uttara-Sakhalina"
1051 = "Aladana"
2106 = "Purvishasak"
2434 = "Altai Kshetr"
2440 = "Anadira"
4689 = "Nayasaiberiya"

#Turkey
149 = "Edirane"
151 = "Kustumtuniya"

#Afghanistan
449 = "Giri"

#Indonesia
2706 = "Malabaralamand"
4802 = "Churel"
2708 = "Saimpit"
638 = "Samanunchai"
2709 = "Khanesthan"
4153 = "Palehari"
