#OTTOMANS PRIMARY (TURKISH)

2004 = "Dörtdivan"
2018 = "Osmanoglu"
3000 = "Nish"
2195 = "Socha"
2003 = "Dogu Kuteney"
2010 = "Hassa"
2012 = "Dogudaki"
2017 = "Pinaryaka"
4876 = "Lefkeli Silahdar"
2206 = "Rumiye"
1854 = "Akka"
2205 = "Nahçivan"
3061 = "Çernovi"
3003 = "Egriboz"
452 = "Bedahsan"
2226 = "Celalabat"
515 = "Dev"
542 = "Haydarabat"
2197 = "Nalçik"
2199 = "Anzhi-Qala"
2198 = "Çeçenistan"
2196 = "Artvin"
2309 = "Sancar"
2311 = "Nasiriye"
2312 = "Amare"
2210 = "Kirmanshah"
2211 = "Senendec"
2207 = "Maraga"
2202 = "Karabag"
2212 = "Zencan"
2215 = "Kazvin"
2213 = "Kum"
2216 = "Simnan"
2222 = "Ardekan"
2217 = "Kohgiluye"
2219 = "Bender Lenge"
2236 = "Kuzey Horasan"
427 = "Damgan"
2235 = "Sebzevar"
436 = "Bircend"
2234 = "Refsencan"
2220 = "Bem"
434 = "Bempur"
2229 = "Helmend"
2297 = "Manisa"
2304 = "Samsun"
2300 = "Yozgat"
2302 = "Mersin"
2313 = "Hatay"
2296 = "Canakkale"
2360 = "Hunkala"
357 = "Derne"
2317 = "Minye"
2315 = "Süveys"
2329 = "Yenbu"
2331 = "Cidde"
2344 = "Marib"
2333 = "Abu Dabi"
3070 = "Lazkiye"
2314 = "Deyrizor"
4569 = "Kirmizi Kanal"
2470 = "Suvayr"
2455 = "Benzert"
2454 = "Kâf"
2473 = "Susa"
2453 = "Isfakus"
2452 = "Zuvare"
2450 = "Gadamez"
2451 = "Misrata"
3073 = "Gat"
2753 = "Nerbune"
2751 = "Künka"
2754 = "Kraliyet Shehri"
2750 = "Filibe"
2406 = "Mikolayiv"
2409 = "Legen"
2410 = "Akyar"
2412 = "Kalçik"
2413 = "Küçük Shir"
2447 = "Sujuk-Qale"
2416 = "Haçkenti"
774 = "El Cuneyna"
2798 = "Hartum"
2793 = "Hargeysa"
2422 = "Shupashkar"
2421 = "Elmet"
2420 = "Irimbur"
2124 = "Yarkent"
2121 = "Kuça"
1066 = "Altay"
2639 = "Yeniokçu"
2558 = "Elâzig"
2560 = "Yeni Liman"
2561 = "Samsun"
2559 = "Piyalekale"
2564 = "Lübnan"
970 = "Gaziantep"
2013 = "Çiçek"
2568 = "Suköprüsü"
2569 = "Sariyer"
2570 = "Süheylkasaba"
2571 = "Büyük Shelalesi"
2572 = "Kanijeli"
2582 = "Ashagi-Aziz-Loren"
2583 = "Apalash"
2584 = "Tavshanli"
2580 = "Kara"
2577 = "Yedi-Nehir"
2576 = "Aziz-Petrus-Körfezi"
2578 = "Antikosti"
2573 = "Meryeminkasaba"
2575 = "Kaz Körfezi"
2586 = "Kemal"
2587 = "Köprülü Bogazi"
2671 = "Karamanli Bogazi"
2589 = "Hersekli"
999 = "Kale Malkoç"
2592 = "Kale Kizilirmak"
2594 = "Defterdar"
2596 = "Çuhadar"
2598 = "Hizli Akim"
#Kindersley = "Civan"
2599 = "Kale Denesulineler"
2600 = "Kale Parlak Kirmizi"
2602 = "Kocakafa"
2603 = "Esir Gölü"
2604 = "Prens Mustafa"
2605 = "Somon Kolu"
2607 = "Cerrah Nikola"
2609 = "Prens Mehmed"
2961 = "Ilbav"
3099 = "Kale Oflu"
3002 = "Saraybosna"
3107 = "Sokullu"
3109 = "Izmir Körfezi"
3110 = "Kale Kaymak"
3111 = "Bakirmadeni"
3249 = "Balçik"
4529 = "Yash"
4530 = "Berlat"
4531 = "Bükresh"
4532 = "Severin"
4539 = "Kremenis"
4540 = "Vinnitsya"
4541 = "Tashli Shehir"
4542 = "Lubni"
4698 = "Kefalonya"
4700 = "Midilli"
4701 = "Korint"
4702 = "Serez"
4730 = "Bolonya"
4750 = "Tiran"
4757 = "Valyeva"
4780 = "Ohri"
3147 = "Segedin"
1798 = "Dogu Ekvator"
4126 = "Baçka"      		#Bacs
4127 = "Kaloshvar"
4128 = "Barasu"
143 = "Avlonya"		#Vlore
4174 = "Diraç"			#Durres
4699 = "Etolya-Akarnanya"
4173 = "Sirem"
4176 = "Güvercinlik"
4239 = "Belgrad"
4240 = "Istolni Belgrad"
4247 = "Ovruç"
4266 = "Ishkar"
4279 = "El-Hudeyde"
4288 = "Kurne"
4292 = "Resülayn"
4305 = "Sheki"
4306 = "Kazi-Kumuk"
3244 = "Kudüs"
233 = "Kernevekeli"
4689 = "Yenisibirya"

#Added vanilla names
122 = "Otranto"
317 = "Hüdavendigar"
323 = "Konya"
324 = "Karaman"
325 = "Kastamonu"
327 = "Adana"
328 = "Sinop"
329 = "Sivas"
331 = "Erzurum"
332 = "Marash"
368 = "Kanarya Adalari"
2308 = "Shanliurfa"
429 = "Isfahan"
2196 = "Çildir"
2204 = "Kars"
2297 = "Saruhan"
2299 = "Bolu"
2300 = "Bozok"
2301 = "Kayseri"
2303 = "Malatya"
2305 = "Erzincan"
2348 = "Sakiz"
2998 = "Buza"
2999 = "Keshm"
3000 = "Nish"
